Date,Open,High,Low,Close,Adj Close,Volume
6/24/2015,127.209999,129.800003,127.120003,128.110001,122.698708,55280900
6/25/2015,128.860001,129.199997,127.5,127.5,122.114471,31938100
6/26/2015,127.669998,127.989998,126.510002,126.75,121.396149,44066800
6/29/2015,125.459999,126.470001,124.480003,124.529999,119.269913,49161400
6/30/2015,125.57,126.120003,124.860001,125.43,120.131905,44370700
7/1/2015,126.900002,126.940002,125.989998,126.599998,121.252487,30238800
7/2/2015,126.43,126.690002,125.769997,126.440002,121.099236,27211000
7/6/2015,124.940002,126.230003,124.849998,126,120.677834,28060400
7/7/2015,125.889999,126.150002,123.769997,125.690002,120.380928,46946800
7/8/2015,124.480003,124.639999,122.540001,122.57,117.392715,60761600
7/9/2015,123.849998,124.059998,119.220001,120.07,114.998314,77821600
7/10/2015,121.940002,123.849998,121.209999,123.279999,118.072723,61354500
7/13/2015,125.029999,125.760002,124.32,125.660004,120.352196,41440500
7/14/2015,126.040001,126.370003,125.040001,125.610001,120.304298,31768100
7/15/2015,125.720001,127.150002,125.580002,126.82,121.463196,33649200
7/16/2015,127.739998,128.570007,127.349998,128.509995,123.081818,36222400
7/17/2015,129.080002,129.619995,128.309998,129.619995,124.14492,46164700
7/20/2015,130.970001,132.970001,130.699997,132.070007,126.491463,58900200
7/21/2015,132.850006,132.919998,130.320007,130.75,125.227188,76756400
7/22/2015,121.989998,125.5,121.989998,125.220001,119.930779,115450600
7/23/2015,126.199997,127.089996,125.059998,125.160004,119.873306,50999500
7/24/2015,125.32,125.739998,123.900002,124.5,119.241196,42162300
7/27/2015,123.089996,123.610001,122.120003,122.769997,117.584259,44455500
7/28/2015,123.379997,123.910004,122.550003,123.379997,118.168503,33618100
7/29/2015,123.150002,123.5,122.269997,122.989998,117.794968,37011700
7/30/2015,122.32,122.57,121.709999,122.370003,117.201164,33628300
7/31/2015,122.599998,122.639999,120.910004,121.300003,116.176353,42885000
8/3/2015,121.5,122.57,117.519997,118.440002,113.437157,69976000
8/4/2015,117.419998,117.699997,113.25,114.639999,109.797668,124138600
8/5/2015,112.949997,117.440002,112.099998,115.400002,110.525574,99312600
8/6/2015,115.970001,116.5,114.120003,115.129997,110.76609,52903000
8/7/2015,114.580002,116.25,114.5,115.519997,111.141319,38670400
8/10/2015,116.529999,119.989998,116.529999,119.720001,115.182114,54951600
8/11/2015,117.809998,118.18,113.330002,113.489998,109.188248,97082800
8/12/2015,112.529999,115.419998,109.629997,115.239998,110.871918,101217500
8/13/2015,116.040001,116.400002,114.540001,115.150002,110.785339,48535800
8/14/2015,114.32,116.309998,114.010002,115.959999,111.564629,42929500
8/17/2015,116.040001,117.650002,115.5,117.160004,112.719162,40884700
8/18/2015,116.43,117.440002,116.010002,116.5,112.084152,34560700
8/19/2015,116.099998,116.519997,114.68,115.010002,110.650642,47445700
8/20/2015,114.080002,114.349998,111.629997,112.650002,108.380096,68501600
8/21/2015,110.43,111.900002,105.650002,105.760002,101.751259,128275500
8/24/2015,94.870003,108.800003,92,103.120003,99.211334,162206300
8/25/2015,111.110001,111.110001,103.5,103.739998,99.807816,103601600
8/26/2015,107.089996,109.889999,105.050003,109.690002,105.532295,96774600
8/27/2015,112.230003,113.239998,110.019997,112.919998,108.639862,84616100
8/28/2015,112.169998,113.309998,111.540001,113.290001,108.995834,53164400
