Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2016-08-05,38.2405014,38.42350006,38.15449905,38.29899979,54088000,10.0,10.0,,6.0,8.0,6.0,8.0
2016-08-08,38.34049988,38.34999847,38.05099869,38.32799911,39726000,,,3.0,8.0,3.0,6.0,8.0
2016-08-09,38.36949921,38.63000107,38.34500122,38.41550064,37522000,,12.0,16.0,12.0,8.0,16.0,16.0
2016-08-10,38.49000168,38.60499954,38.30950165,38.4280014,32086000,6.0,3.0,6.0,3.0,4.0,8.0,
2016-08-11,38.49700165,38.6875,38.45600128,38.56200027,40394000,,6.0,3.0,4.0,3.0,4.0,4.0
2016-08-12,38.42300034,38.65750122,38.42100143,38.62799835,31266000,,4.0,5.0,3.0,6.0,3.0,5.0
2016-08-15,38.59500122,38.60200119,38.38550186,38.42449951,42370000,3.0,6.0,6.0,6.0,3.0,10.0,
2016-08-16,38.43099976,38.43650055,38.19100189,38.20199966,32092000,,2.0,1.0,2.0,3.0,2.0,
2016-08-17,38.22050095,38.26100159,37.95999908,38.23149872,37822000,2.0,2.0,8.0,6.0,4.0,2.0,4.0
2016-08-18,38.20000076,38.25849915,38.02999878,38.22299957,29176000,,8.0,3.0,3.0,5.0,3.0,4.0
2016-08-19,38.09500122,38.12450027,37.8445015,37.8655014,46864000,,3.0,,6.0,,3.0,
2016-08-22,37.875,37.99250031,37.60499954,37.97399902,33586000,6.0,6.0,6.0,6.0,4.0,8.0,8.0
2016-08-23,38.16550064,38.23500061,38.04999924,38.12250137,30482000,12.0,7.0,14.0,4.0,10.0,10.0,9.0
2016-08-24,38.15000153,38.17050171,37.76800156,37.86249924,34882000,,7.0,,2.0,2.0,3.0,
2016-08-25,37.79999924,38.02799988,37.73699951,37.96099854,32460000,,6.0,4.0,4.0,,7.0,7.0
2016-08-26,38.00249863,38.5,37.99000168,38.45000076,55536000,12.0,14.0,14.0,,14.0,14.0,12.0
2016-08-29,38.43600082,38.74900055,38.43000031,38.5644989,43972000,8.0,8.0,,6.0,6.0,6.0,6.0
2016-08-30,38.55250168,38.59199905,38.27799988,38.37900162,34184000,,,4.0,4.0,,8.0,
2016-08-31,38.33000183,38.48199844,38.20000076,38.45800018,32676000,6.0,6.0,6.0,6.0,12.0,6.0,6.0
2016-09-01,38.54499817,38.60200119,38.33750153,38.53099823,35846000,3.0,3.0,8.0,6.0,3.0,4.0,3.0
2016-09-02,38.70550156,38.79999924,38.58499908,38.62200165,43636000,,10.0,,6.0,3.0,6.0,3.0
2016-09-06,38.70199966,39.47399902,38.51100159,39.44350052,74396000,14.0,,12.0,4.0,12.0,4.0,
2016-09-07,39.47650146,39.53950119,39.21649933,39.22399902,48492000,,9.0,,9.0,,,
2016-09-08,39.19449997,39.32500076,39.0719986,39.20299911,40610000,8.0,6.0,8.0,6.0,,10.0,10.0
2016-09-09,38.9679985,39.04999924,38.00550079,38.00699997,85146000,6.0,6.0,6.0,,6.0,12.0,
2016-09-12,37.86750031,38.63299942,37.79999924,38.57450104,62494000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-09-13,38.43849945,38.49449921,37.95249939,38.05049896,62344000,,6.0,3.0,,3.0,6.0,
2016-09-14,38.11000061,38.375,37.94250107,38.05450058,50460000,6.0,6.0,4.0,5.0,6.0,5.0,6.0
2016-09-15,38.09999847,38.54349899,37.87900162,38.48450089,60680000,,8.0,8.0,,10.0,3.0,3.0
2016-09-16,38.66400146,39.02299881,38.58300018,38.92599869,109984000,12.0,15.0,,15.0,4.0,4.0,4.0
2016-09-19,38.99850082,39.09700012,38.54999924,38.75500107,45944000,,,,,,,
2016-09-20,38.79999924,39.06850052,38.79999924,39.01100159,38744000,6.0,6.0,6.0,6.0,,12.0,12.0
2016-09-21,39.16249847,39.53450012,38.95050049,39.48699951,54372000,12.0,12.0,12.0,,12.0,12.0,12.0
2016-09-22,39.71350098,40.29449844,39.71350098,40.23500061,81578000,12.0,12.0,,6.0,6.0,6.0,6.0
2016-09-23,40.15650177,40.38750076,40.10599899,40.28749847,47070000,,,,,,,
